accessed_date,duration_(secs),network_protocol,ip,bytes,accessed_Ffom,age,gender,country,membership,language,sales,returned,returned_amount,pay_method,timestamp,ano,mes,dia,hora
2017-03-15 00:00:32.016,4058,TCP  ,1.20.173.38,3237,IOS App,19,Female,AR,Premium,Spanish,319.41,No,0.0,Credit Card,2017-03-15 00:00:32.016,2017,3,15,0
2017-03-15 00:04:07.571,2858,TCP  ,1.20.175.155,46,IOS App,67,Female,GB,Premium,Spanish,14.56,No,0.0,Cash,2017-03-15 00:04:07.571,2017,3,15,0
2017-03-15 00:04:07.571,3921,TCP  ,1.20.175.187,40,IOS App,36,Female,DE,Premium,Spanish,30.0,No,0.0,Cash,2017-03-15 00:04:07.571,2017,3,15,0
2017-03-15 00:04:15.639,3814,TCP  ,1.20.245.38,46,Chrome,64,Male,US,Premium,Spanish,48.48,No,0.0,Others,2017-03-15 00:04:15.639,2017,3,15,0
2017-03-15 00:04:15.639,4678,TCP  ,1.20.34.63,40,Chrome,33,Female,JP,Premium,Spanish,0.0,Yes,45.0,Others,2017-03-15 00:04:15.639,2017,3,15,0
2017-03-15 00:04:20.538,3357,TCP  ,1.2.148.206,46,Chrome,33,Female,AU,Premium,Spanish,13.98,No,0.0,Credit Card,2017-03-15 00:04:20.538,2017,3,15,0
2017-03-15 00:04:20.538,1773,TCP  ,1.204.26.164,40,Chrome,66,Male,IT,Premium,Spanish,25.824,No,0.0,Cash,2017-03-15 00:04:20.538,2017,3,15,0
2017-03-15 00:01:26.295,1623,TCP  ,1.212.121.254,2283,Chrome,29,Female,RU,Premium,Spanish,0.0,Yes,75.18,Debit Card,2017-03-15 00:01:26.295,2017,3,15,0
2017-03-15 00:01:26.295,4017,TCP  ,1.23.61.210,3185,Chrome,22,Male,CH,Premium,Spanish,79.76,No,0.0,Cash,2017-03-15 00:01:26.295,2017,3,15,0
2017-03-15 00:04:29.221,1556,TCP  ,1.232.207.82,2157,Chrome,63,Female,AR,Premium,Spanish,213.115,No,0.0,Cash,2017-03-15 00:04:29.221,2017,3,15,0
2017-03-15 00:04:29.221,4791,TCP  ,1.235.201.62,3249,Chrome,24,Female,FI,Premium,Spanish,1113.024,No,0.0,Debit Card,2017-03-15 00:04:29.221,2017,3,15,0
2017-03-15 00:01:39.467,2603,TCP  ,1.32.127.178,556,Chrome,24,Female,IN,Normal,Spanish,167.968,No,0.0,Cash,2017-03-15 00:01:39.467,2017,3,15,0
2017-03-15 00:01:39.467,1782,TCP  ,1.32.41.53,515,Chrome,44,Female,CA,Normal,Spanish,75.88,No,0.0,Credit Card,2017-03-15 00:01:39.467,2017,3,15,0
2017-03-15 00:01:39.467,2843,TCP  ,1.32.72.28,561,Others,34,Male,AU,Normal,Spanish,4.616,No,0.0,Cash,2017-03-15 00:01:39.467,2017,3,15,0
2017-03-15 00:01:39.467,4080,TCP  ,1.32.74.177,589,Others,47,Female,CA,Normal,Spanish,19.05,No,0.0,Cash,2017-03-15 00:01:39.467,2017,3,15,0
2017-03-15 00:01:39.523,2350,TCP  ,1.32.77.0,702,Others,38,Male,IT,Normal,Spanish,831.936,No,0.0,Others,2017-03-15 00:01:39.523,2017,3,15,0
2017-03-15 00:01:39.523,4354,TCP  ,1.32.77.0,586,Others,57,Female,IT,Normal,Spanish,97.04,No,0.0,Others,2017-03-15 00:01:39.523,2017,3,15,0
2017-03-15 00:01:39.539,4981,TCP  ,1.38.4.14,1726,Others,67,Male,IT,Normal,Spanish,72.784,No,0.0,Cash,2017-03-15 00:01:39.539,2017,3,15,0
2017-03-15 00:01:39.539,4962,TCP  ,1.39.11.87,579,Others,41,Male,AU,Normal,Spanish,0.0,Yes,351.15,Others,2017-03-15 00:01:39.539,2017,3,15,0
2017-03-15 00:01:41.044,2634,TCP  ,1.39.12.67,639,Mozilla Firefox,40,Female,IT,Normal,Spanish,9.708,No,0.0,Debit Card,2017-03-15 00:01:41.044,2017,3,15,0
2017-03-15 00:01:41.044,2335,TCP  ,1.39.14.124,614,Mozilla Firefox,69,Female,IT,Normal,Spanish,27.24,No,0.0,Cash,2017-03-15 00:01:41.044,2017,3,15,0
2017-03-15 00:04:46.921,2295,TCP  ,1.39.14.149,2985,Mozilla Firefox,47,Female,IT,Premium,Spanish,19.3,No,0.0,Cash,2017-03-15 00:04:46.921,2017,3,15,0
2017-03-15 00:04:46.921,2695,TCP  ,1.39.20.105,2917,Mozilla Firefox,53,Female,US,Premium,Spanish,208.16,No,0.0,Credit Card,2017-03-15 00:04:46.921,2017,3,15,0
2017-03-15 00:04:54.424,4989,TCP  ,1.39.20.193,3249,Mozilla Firefox,40,Male,RU,Premium,Spanish,16.74,No,0.0,Cash,2017-03-15 00:04:54.424,2017,3,15,0
2017-03-15 00:04:54.424,3366,TCP  ,1.39.20.225,2261,Mozilla Firefox,60,Male,CN,Premium,Spanish,14.9,No,0.0,Credit Card,2017-03-15 00:04:54.424,2017,3,15,0
2017-03-15 00:05:11.669,3980,TCP  ,1.39.20.86,977,Android App,30,Male,CA,Premium,Spanish,21.39,No,0.0,Cash,2017-03-15 00:05:11.669,2017,3,15,0
2017-03-15 00:05:11.669,2608,TCP  ,1.39.21.169,1469,Android App,66,Female,CN,Premium,Spanish,200.984,No,0.0,Credit Card,2017-03-15 00:05:11.669,2017,3,15,0
2017-03-15 00:05:22.845,2915,TCP  ,1.39.21.83,40,Android App,22,Male,CH,Premium,Spanish,230.376,No,0.0,Cash,2017-03-15 00:05:22.845,2017,3,15,0
2017-03-15 00:05:22.845,1661,TCP  ,1.39.24.136,46,Android App,53,Male,CN,Premium,Spanish,0.0,Yes,19.05,Cash,2017-03-15 00:05:22.845,2017,3,15,0
2017-03-15 00:05:10.118,2216,TCP  ,1.39.24.170,3201,Android App,52,Female,CA,Premium,Spanish,19.99,No,0.0,Cash,2017-03-15 00:05:10.118,2017,3,15,0
2017-03-15 00:05:10.118,2620,TCP  ,1.39.24.241,2935,Android App,26,Male,AT,Premium,Spanish,0.0,Yes,97.04,Cash,2017-03-15 00:05:10.118,2017,3,15,0
2017-03-15 00:05:24.888,3779,TCP  ,1.39.24.43,3249,Android App,66,Male,GB,Premium,Spanish,158.368,No,0.0,Cash,2017-03-15 00:05:24.888,2017,3,15,0
2017-03-15 00:05:24.888,1587,TCP  ,1.39.24.72,2105,Android App,65,Male,CA,Premium,Spanish,20.1,No,0.0,Debit Card,2017-03-15 00:05:24.888,2017,3,15,0
2017-03-15 00:02:48.650,4227,TCP  ,1.39.25.105,561,Android App,43,Female,JP,Normal,Spanish,73.584,No,0.0,Cash,2017-03-15 00:02:48.650,2017,3,15,0
2017-03-15 00:02:48.650,4317,TCP  ,1.39.25.10,589,Android App,59,Female,PL,Normal,Spanish,0.0,Yes,27.24,Debit Card,2017-03-15 00:02:48.650,2017,3,15,0
2017-03-15 00:02:48.650,3291,TCP  ,1.39.25.191,556,Android App,30,Female,CH,Normal,Spanish,12.96,No,0.0,Others,2017-03-15 00:02:48.650,2017,3,15,0
2017-03-15 00:02:48.650,4131,TCP  ,1.39.25.244,515,Android App,25,Female,US,Normal,Spanish,53.34,No,0.0,Debit Card,2017-03-15 00:02:48.650,2017,3,15,0
2017-03-15 00:02:48.651,3856,TCP  ,1.39.25.40,702,Android App,29,Female,RU,Normal,Spanish,32.96,No,0.0,Debit Card,2017-03-15 00:02:48.651,2017,3,15,0
2017-03-15 00:02:48.651,3019,TCP  ,1.39.26.137,586,Android App,19,Female,US,Normal,Spanish,5.682,No,0.0,Debit Card,2017-03-15 00:02:48.651,2017,3,15,0
2017-03-15 00:02:39.477,2802,TCP  ,1.39.26.141,2163,Android App,62,Male,US,Premium,Spanish,96.53,No,0.0,Others,2017-03-15 00:02:39.477,2017,3,15,0
2017-03-15 00:02:39.477,1843,TCP  ,1.39.26.201,3185,Android App,39,Male,JP,Premium,Spanish,51.312,No,0.0,Cash,2017-03-15 00:02:39.477,2017,3,15,0
2017-03-15 00:02:49.707,4351,TCP  ,1.39.26.209,1726,Android App,33,Female,AU,Normal,Spanish,77.88,No,0.0,Cash,2017-03-15 00:02:49.707,2017,3,15,0
2017-03-15 00:02:49.707,3363,TCP  ,1.39.26.20,579,Android App,26,Female,CA,Normal,Spanish,64.624,No,0.0,Debit Card,2017-03-15 00:02:49.707,2017,3,15,0
2017-03-15 00:02:49.712,4917,TCP  ,1.39.26.32,639,Android App,43,Male,NO,Normal,Spanish,95.976,No,0.0,Credit Card,2017-03-15 00:02:49.712,2017,3,15,0
2017-03-15 00:02:49.712,4181,TCP  ,1.39.26.55,614,Android App,40,Female,CH,Normal,Spanish,0.0,Yes,2315.5,Debit Card,2017-03-15 00:02:49.712,2017,3,15,0
2017-03-15 00:05:33.302,2853,TCP  ,1.39.27.105,2985,Android App,55,Male,RU,Premium,Spanish,23.92,No,0.0,Credit Card,2017-03-15 00:05:33.302,2017,3,15,0
2017-03-15 00:05:33.302,1711,TCP  ,1.39.27.140,2871,Android App,24,Female,SE,Premium,Spanish,238.896,No,0.0,Credit Card,2017-03-15 00:05:33.302,2017,3,15,0
2017-03-15 00:04:28.123,4073,TCP  ,1.39.27.164,717,Chrome,24,Male,IT,Premium,Spanish,102.36,No,0.0,Cash,2017-03-15 00:04:28.123,2017,3,15,0
2017-03-15 00:04:28.123,4310,TCP  ,1.39.27.165,4445,Mozilla Firefox,30,Female,US,Premium,Spanish,36.882,No,0.0,Credit Card,2017-03-15 00:04:28.123,2017,3,15,0
2017-03-15 00:02:48.741,4129,TCP  ,1.39.27.18,2215,Mozilla Firefox,34,Male,CA,Premium,Spanish,74.112,No,0.0,Credit Card,2017-03-15 00:02:48.741,2017,3,15,0
2017-03-15 00:02:48.741,3516,TCP  ,1.39.36.16,3145,Mozilla Firefox,64,Female,DE,Premium,Spanish,27.992,No,0.0,Cash,2017-03-15 00:02:48.741,2017,3,15,0
2017-03-15 00:03:03.371,2465,UDP  ,1.39.37.140,76,Mozilla Firefox,57,Female,CA,Premium,Spanish,3.304,No,0.0,Cash,2017-03-15 00:03:03.371,2017,3,15,0
2017-03-15 00:03:03.371,3728,UDP  ,1.39.37.161,76,Mozilla Firefox,18,Male,JP,Premium,Spanish,339.96,No,0.0,Credit Card,2017-03-15 00:03:03.371,2017,3,15,0
2017-03-15 00:05:51.137,3472,TCP  ,1.39.37.232,3077,Mozilla Firefox,26,Female,JP,Premium,Spanish,41.96,No,0.0,Cash,2017-03-15 00:05:51.137,2017,3,15,0
2017-03-15 00:05:51.137,4281,TCP  ,1.39.37.93,3679,Mozilla Firefox,19,Female,GB,Premium,Spanish,75.96,No,0.0,Debit Card,2017-03-15 00:05:51.137,2017,3,15,0
2017-03-15 00:02:58.441,1642,TCP  ,1.39.38.235,2267,Mozilla Firefox,22,Female,IT,Premium,Spanish,27.24,No,0.0,Cash,2017-03-15 00:02:58.441,2017,3,15,0
2017-03-15 00:02:58.441,3000,TCP  ,1.39.38.243,3185,Mozilla Firefox,48,Male,AT,Premium,Spanish,40.096,No,0.0,Cash,2017-03-15 00:02:58.441,2017,3,15,0
2017-03-15 00:03:07.962,4260,TCP  ,1.39.38.254,2215,Mozilla Firefox,56,Female,IT,Premium,Spanish,4.72,No,0.0,Cash,2017-03-15 00:03:07.962,2017,3,15,0
2017-03-15 00:03:07.962,2470,TCP  ,1.39.38.254,3185,Android App,35,Male,CH,Premium,Spanish,23.976,No,0.0,Cash,2017-03-15 00:03:07.962,2017,3,15,0
2017-03-15 00:06:14.707,3293,TCP  ,1.39.38.6,104,Chrome,60,Female,IT,Premium,Spanish,130.464,No,0.0,Debit Card,2017-03-15 00:06:14.707,2017,3,15,0
2017-03-15 00:06:14.707,4372,TCP  ,1.39.39.167,80,Chrome,32,Female,MX,Premium,Spanish,787.53,No,0.0,Others,2017-03-15 00:06:14.707,2017,3,15,0
2017-03-15 00:02:40.762,2660,TCP  ,1.39.39.212,2625,Chrome,27,Male,IT,Premium,Spanish,157.794,No,0.0,Credit Card,2017-03-15 00:02:40.762,2017,3,15,0
2017-03-15 00:02:40.762,3236,TCP  ,1.39.39.2,1678,Chrome,56,Female,IT,Premium,Spanish,47.04,No,0.0,Credit Card,2017-03-15 00:02:40.762,2017,3,15,0
2017-03-15 00:03:19.407,2537,TCP  ,1.39.39.71,2625,Chrome,35,Male,KR,Premium,Spanish,30.84,No,0.0,Debit Card,2017-03-15 00:03:19.407,2017,3,15,0
2017-03-15 00:03:19.407,4741,TCP  ,1.39.40.114,1678,Chrome,68,Female,IT,Premium,Spanish,226.56,No,0.0,Credit Card,2017-03-15 00:03:19.407,2017,3,15,0
2017-03-15 00:03:14.077,2725,TCP  ,1.39.40.33,2163,IOS App,64,Female,PR,Premium,Spanish,115.02,No,0.0,Cash,2017-03-15 00:03:14.077,2017,3,15,0
2017-03-15 00:03:14.077,4082,TCP  ,1.39.47.91,3185,IOS App,60,Female,AU,Premium,Spanish,68.04,No,0.0,Cash,2017-03-15 00:03:14.077,2017,3,15,0
2017-03-15 00:03:21.906,4568,TCP  ,1.39.48.157,2625,IOS App,64,Male,US,Premium,Spanish,600.558,No,0.0,Debit Card,2017-03-15 00:03:21.906,2017,3,15,0
2017-03-15 00:03:21.906,4343,TCP  ,1.39.49.132,1678,IOS App,41,Female,IT,Premium,Spanish,617.7,No,0.0,Debit Card,2017-03-15 00:03:21.906,2017,3,15,0
2017-03-15 00:03:17.241,3718,TCP  ,1.39.49.182,2179,IOS App,30,Male,US,Premium,Spanish,2.388,No,0.0,Cash,2017-03-15 00:03:17.241,2017,3,15,0
2017-03-15 00:03:17.241,3462,TCP  ,1.39.49.28,3185,IOS App,40,Male,RU,Premium,Spanish,243.992,No,0.0,Debit Card,2017-03-15 00:03:17.241,2017,3,15,0
2017-03-15 00:06:39.635,2630,TCP  ,1.39.49.93,255,IOS App,29,Female,IT,Premium,Spanish,81.424,No,0.0,Others,2017-03-15 00:06:39.635,2017,3,15,0
2017-03-15 00:06:39.635,3562,TCP  ,1.39.50.171,2302,Microsoft Edge,25,Male,SE,Premium,Spanish,238.56,No,0.0,Cash,2017-03-15 00:06:39.635,2017,3,15,0
2017-03-15 00:03:36.995,3777,TCP  ,1.39.50.251,2319,Microsoft Edge,60,Female,AR,Premium,Spanish,59.97,No,0.0,Cash,2017-03-15 00:03:36.995,2017,3,15,0
2017-03-15 00:03:36.995,3122,TCP  ,1.39.51.102,3185,Microsoft Edge,42,Female,GB,Premium,Spanish,78.304,No,0.0,Cash,2017-03-15 00:03:36.995,2017,3,15,0
2017-03-15 00:06:39.285,1785,TCP  ,1.39.51.207,2985,Microsoft Edge,54,Male,IT,Premium,Spanish,21.456,No,0.0,Cash,2017-03-15 00:06:39.285,2017,3,15,0
2017-03-15 00:06:39.285,2917,TCP  ,1.39.51.238,2825,Microsoft Edge,50,Female,IT,Premium,Spanish,20.04,No,0.0,Cash,2017-03-15 00:06:39.285,2017,3,15,0
2017-03-15 00:03:46.683,3358,TCP  ,1.39.56.158,2319,Microsoft Edge,54,Male,CH,Premium,Spanish,35.44,No,0.0,Debit Card,2017-03-15 00:03:46.683,2017,3,15,0
2017-03-15 00:03:46.683,1570,TCP  ,1.39.56.5,3197,Safari,45,Female,US,Premium,Spanish,11.52,No,0.0,Cash,2017-03-15 00:03:46.683,2017,3,15,0
2017-03-15 00:03:58.098,1683,TCP  ,1.39.56.98,2439,Safari,40,Female,CN,Premium,Spanish,4.02,No,0.0,Others,2017-03-15 00:03:58.098,2017,3,15,0
2017-03-15 00:03:58.098,3563,TCP  ,1.39.57.47,3185,Safari,24,Male,GB,Premium,Spanish,76.176,No,0.0,Credit Card,2017-03-15 00:03:58.098,2017,3,15,0
2017-03-15 00:07:10.856,1600,TCP  ,1.39.60.164,46,Safari,40,Male,GB,Premium,Spanish,65.88,No,0.0,Cash,2017-03-15 00:07:10.856,2017,3,15,0
2017-03-15 00:07:10.856,3543,TCP  ,1.39.60.81,40,Others,32,Female,GB,Premium,Spanish,43.12,No,0.0,Credit Card,2017-03-15 00:07:10.856,2017,3,15,0
2017-03-15 00:06:57.407,1505,TCP  ,1.39.60.96,3309,Others,28,Female,DE,Premium,Spanish,82.8,No,0.0,Cash,2017-03-15 00:06:57.407,2017,3,15,0
2017-03-15 00:06:57.407,2073,TCP  ,1.39.61.155,2825,Others,22,Female,US,Premium,Spanish,8.82,No,0.0,Cash,2017-03-15 00:06:57.407,2017,3,15,0
2017-03-15 00:04:07.740,4712,TCP  ,1.39.61.172,2215,Others,21,Female,NO,Premium,Spanish,10.86,No,0.0,Credit Card,2017-03-15 00:04:07.740,2017,3,15,0
2017-03-15 00:04:07.740,2200,TCP  ,1.39.61.221,3185,Others,31,Female,DK,Premium,Spanish,143.7,No,0.0,Credit Card,2017-03-15 00:04:07.740,2017,3,15,0
2017-03-15 00:04:09.007,1604,TCP  ,1.39.61.223,2283,Others,61,Female,JP,Premium,Spanish,839.43,No,0.0,Credit Card,2017-03-15 00:04:09.007,2017,3,15,0
2017-03-15 00:04:09.007,3520,TCP  ,1.39.61.47,3185,Others,67,Female,IT,Premium,Spanish,671.93,No,0.0,Cash,2017-03-15 00:04:09.007,2017,3,15,0
2017-03-15 00:03:24.835,2688,TCP  ,1.39.63.207,2665,Others,52,Male,SE,Premium,Spanish,93.888,No,0.0,Cash,2017-03-15 00:03:24.835,2017,3,15,0
2017-03-15 00:03:24.835,1775,TCP  ,1.39.63.230,1724,Others,44,Male,DE,Premium,Spanish,384.45,No,0.0,Credit Card,2017-03-15 00:03:24.835,2017,3,15,0
2017-03-15 00:04:19.603,4038,TCP  ,1.39.84.223,2163,Others,48,Female,AU,Premium,Spanish,149.97,No,0.0,Credit Card,2017-03-15 00:04:19.603,2017,3,15,0
2017-03-15 00:04:19.603,4046,TCP  ,1.39.84.68,3185,Safari,53,Female,CA,Premium,Spanish,1951.84,No,0.0,Cash,2017-03-15 00:04:19.603,2017,3,15,0
2017-03-15 00:04:26.268,4951,TCP  ,1.39.85.5,2625,Safari,27,Male,CO,Premium,Spanish,171.55,No,0.0,Cash,2017-03-15 00:04:26.268,2017,3,15,0
2017-03-15 00:04:26.268,2599,TCP  ,1.39.86.224,1678,Safari,28,Female,US,Premium,Spanish,157.92,No,0.0,Cash,2017-03-15 00:04:26.268,2017,3,15,0
2017-03-15 00:04:39.470,3030,TCP  ,1.39.87.223,556,Safari,43,Female,RU,Normal,Spanish,203.184,No,0.0,Credit Card,2017-03-15 00:04:39.470,2017,3,15,0
2017-03-15 00:04:39.470,4776,TCP  ,1.39.87.60,515,Safari,54,Male,IT,Normal,Spanish,58.38,No,0.0,Credit Card,2017-03-15 00:04:39.470,2017,3,15,0
2017-03-15 00:04:39.512,3643,TCP  ,1.39.9.163,702,Safari,41,Male,DE,Normal,Spanish,105.52,No,0.0,Credit Card,2017-03-15 00:04:39.512,2017,3,15,0
2017-03-15 00:04:39.512,2257,TCP  ,1.39.96.253,586,IOS App,59,Female,US,Normal,Spanish,80.88,No,0.0,Cash,2017-03-15 00:04:39.512,2017,3,15,0
2017-03-15 00:04:35.123,1509,TCP  ,1.39.98.105,3185,Microsoft Edge,32,Female,CA,Premium,Spanish,6.63,No,0.0,Credit Card,2017-03-15 00:04:35.123,2017,3,15,0
2017-03-15 00:04:35.123,4941,TCP  ,1.39.99.120,2163,Microsoft Edge,41,Female,IT,Premium,Spanish,457.568,No,0.0,Credit Card,2017-03-15 00:04:35.123,2017,3,15,0
2017-03-15 00:04:38.489,4397,TCP  ,1.39.99.149,2163,Microsoft Edge,30,Female,AU,Premium,Spanish,14.62,No,0.0,Others,2017-03-15 00:04:38.489,2017,3,15,0
2017-03-15 00:04:38.489,4899,TCP  ,1.39.99.177,3185,IOS App,22,Male,US,Premium,Spanish,944.93,No,0.0,Debit Card,2017-03-15 00:04:38.489,2017,3,15,0
